Date,Price,,,,,,,,
5/11/18,2727.72,,,,,,,,
5/14/18,2730.13,,,,,,,,
5/15/18,2711.45,,,,,,,,
5/16/18,2722.46,,,,,,,,
5/17/18,2720.13,,,,,,,,
5/18/18,2712.97,,,,,,,,
5/21/18,2733.01,,,,,,,,
5/22/18,2724.44,,,,,,,,
5/23/18,2733.29,,,,,,,,
5/24/18,2727.76,,,,,,,,
5/25/18,2721.33,,,,,,,,
5/29/18,2689.86,,,,,,,,
5/30/18,2724.01,,,,,,,,
5/31/18,2705.27,,,,,,,,
6/1/18,2734.62,,,,,,,,
6/4/18,2746.87,,,,,,,,
6/5/18,2748.8,,,,,,,,
6/6/18,2772.35,,,,,,,,
6/7/18,2770.37,,,,,,,,
6/8/18,2779.03,,,,,,,,
6/11/18,2782,,,,,,,,
6/12/18,2786.85,,,,,,,,
6/13/18,2775.63,,,,,,,,
6/14/18,2782.49,,,,,,,,
6/15/18,2779.66,,,,,,,,
6/18/18,2773.75,,,,,,,,
6/19/18,2762.59,,,,,,,,
6/20/18,2767.32,,,,,,,,
6/21/18,2749.76,,,,,,,,
6/22/18,2754.88,,,,,,,,
6/25/18,2717.07,,,,,,,,
6/26/18,2723.06,,,,,,,,
6/27/18,2699.63,,,,,,,,
6/28/18,2716.31,,,,,,,,
6/29/18,2718.37,,,,,,,,
7/2/18,2726.71,,,,,,,,
7/3/18,2713.22,,,,,,,,
7/5/18,2736.61,,,,,,,,
7/6/18,2759.82,,,,,,,,
7/9/18,2784.17,,,,,,,,
7/10/18,2793.84,,,,,,,,
7/11/18,2774.02,,,,,,,,
7/12/18,2798.29,,,,,,,,
7/13/18,2801.31,,,,,,,,
7/16/18,2798.43,,,,,,,,
7/17/18,2809.55,,,,,,,,
7/18/18,2815.62,,,,,,,,
7/19/18,2804.49,,,,,,,,
7/20/18,2801.83,,,,,,,,
7/23/18,2806.98,,,,,,,,
7/24/18,2820.4,,,,,,,,
7/25/18,2846.07,,,,,,,,
7/26/18,2837.44,,,,,,,,
7/27/18,2818.82,,,,,,,,
7/30/18,2802.6,,,,,,,,
7/31/18,2816.29,,,,,,,,
8/1/18,2813.36,,,,,,,,
8/2/18,2827.22,,,,,,,,
8/3/18,2840.35,,,,,,,,
8/6/18,2850.4,,,,,,,,
8/7/18,2858.45,,,,,,,,
8/8/18,2857.7,,,,,,,,
8/9/18,2853.58,,,,,,,,
8/10/18,2833.28,,,,,,,,
8/13/18,2821.93,,,,,,,,
8/14/18,2839.96,,,,,,,,
8/15/18,2818.37,,,,,,,,
8/16/18,2840.69,,,,,,,,
8/17/18,2850.13,,,,,,,,
8/20/18,2857.05,,,,,,,,
8/21/18,2862.96,,,,,,,,
8/22/18,2861.82,,,,,,,,
8/23/18,2856.98,,,,,,,,
8/24/18,2874.69,,,,,,,,
8/27/18,2896.74,,,,,,,,
8/28/18,2897.52,,,,,,,,
8/29/18,2914.04,,,,,,,,
8/30/18,2901.13,,,,,,,,
8/31/18,2901.52,,,,,,,,
9/4/18,2896.72,,,,,,,,
9/5/18,2888.6,,,,,,,,
9/6/18,2878.05,,,,,,,,
9/7/18,2871.68,,,,,,,,
9/10/18,2877.13,,,,,,,,
9/11/18,2887.89,,,,,,,,
9/12/18,2888.92,,,,,,,,
9/13/18,2904.18,,,,,,,,
9/14/18,2904.98,,,,,,,,
9/17/18,2888.8,,,,,,,,
9/18/18,2904.31,,,,,,,,
9/19/18,2907.95,,,,,,,,
9/20/18,2930.75,,,,,,,,
9/21/18,2929.67,,,,,,,,
9/24/18,2919.37,,,,,,,,
9/25/18,2915.56,,,,,,,,
9/26/18,2905.97,,,,,,,,
9/27/18,2914,,,,,,,,
9/28/18,2913.98,,,,,,,,
10/1/18,2924.59,,,,,,,,
10/2/18,2923.43,,,,,,,,
10/3/18,2925.51,,,,,,,,
10/4/18,2901.61,,,,,,,,
10/5/18,2885.57,,,,,,,,
10/8/18,2884.43,,,,,,,,
10/9/18,2880.34,,,,,,,,
10/10/18,2785.68,,,,,,,,
10/11/18,2728.37,,,,,,,,
10/12/18,2767.13,,,,,,,,
10/15/18,2750.79,,,,,,,,
10/16/18,2809.92,,,,,,,,
10/17/18,2809.21,,,,,,,,
10/18/18,2768.78,,,,,,,,
10/19/18,2767.78,,,,,,,,
10/22/18,2755.88,,,,,,,,
10/23/18,2740.69,,,,,,,,
10/24/18,2656.1,,,,,,,,
10/25/18,2705.57,,,,,,,,
10/26/18,2658.69,,,,,,,,
10/29/18,2641.25,,,,,,,,
10/30/18,2682.63,,,,,,,,
10/31/18,2711.74,,,,,,,,
11/1/18,2740.37,,,,,,,,
11/2/18,2723.06,,,,,,,,
11/5/18,2738.31,,,,,,,,
11/6/18,2755.45,,,,,,,,
11/7/18,2813.89,,,,,,,,
11/8/18,2806.83,,,,,,,,
11/9/18,2781.01,,,,,,,,
11/12/18,2726.22,,,,,,,,
11/13/18,2722.18,,,,,,,,
11/14/18,2701.58,,,,,,,,
11/15/18,2730.2,,,,,,,,
11/16/18,2736.27,,,,,,,,
11/19/18,2690.73,,,,,,,,
11/20/18,2641.89,,,,,,,,
11/21/18,2649.93,,,,,,,,
11/23/18,2632.56,,,,,,,,
11/26/18,2673.45,,,,,,,,
11/27/18,2682.17,,,,,,,,
11/28/18,2743.79,,,,,,,,
11/29/18,2737.76,,,,,,,,
11/30/18,2760.17,,,,,,,,
12/3/18,2790.37,,,,,,,,
12/4/18,2700.06,,,,,,,,
12/6/18,2695.95,,,,,,,,
12/7/18,2633.08,,,,,,,,
12/10/18,2637.72,,,,,,,,
12/11/18,2636.78,,,,,,,,
12/12/18,2651.07,,,,,,,,
12/13/18,2650.54,,,,,,,,
12/14/18,2599.95,,,,,,,,
12/17/18,2545.94,,,,,,,,
12/18/18,2546.16,,,,,,,,
12/19/18,2506.96,,,,,,,,
12/20/18,2467.42,,,,,,,,
12/21/18,2416.62,,,,,,,,
12/24/18,2351.1,,,,,,,,
12/26/18,2467.7,,,,,,,,
12/27/18,2488.83,,,,,,,,
12/28/18,2485.74,,,,,,,,
12/31/18,2506.85,,,,,,,,
1/2/19,2510.03,,,,,,,,
1/3/19,2447.89,,,,,,,,
1/4/19,2531.94,,,,,,,,
1/7/19,2549.69,,,,,,,,
1/8/19,2574.41,,,,,,,,
1/9/19,2584.96,,,,,,,,
1/10/19,2596.64,,,,,,,,
1/11/19,2596.26,,,,,,,,
1/14/19,2582.61,,,,,,,,
1/15/19,2610.3,,,,,,,,
1/16/19,2616.1,,,,,,,,
1/17/19,2635.96,,,,,,,,
1/18/19,2670.71,,,,,,,,
1/22/19,2632.9,,,,,,,,
1/23/19,2638.7,,,,,,,,
1/24/19,2642.33,,,,,,,,
1/25/19,2664.76,,,,,,,,
1/28/19,2643.85,,,,,,,,
1/29/19,2640,,,,,,,,
1/30/19,2681.05,,,,,,,,
1/31/19,2704.1,,,,,,,,
2/1/19,2706.53,,,,,,,,
2/4/19,2724.87,,,,,,,,
2/5/19,2737.7,,,,,,,,
2/6/19,2731.61,,,,,,,,
2/7/19,2706.05,,,,,,,,
2/8/19,2707.88,,,,,,,,
2/11/19,2709.8,,,,,,,,
2/12/19,2744.73,,,,,,,,
2/13/19,2753.03,,,,,,,,
2/14/19,2745.73,,,,,,,,
2/15/19,2775.6,,,,,,,,
2/19/19,2779.76,,,,,,,,
2/20/19,2784.7,,,,,,,,
2/21/19,2774.88,,,,,,,,
2/22/19,2792.67,,,,,,,,
2/25/19,2796.11,,,,,,,,
2/26/19,2793.9,,,,,,,,
2/27/19,2792.38,,,,,,,,
2/28/19,2784.49,,,,,,,,
3/1/19,2803.69,,,,,,,,
3/4/19,2792.81,,,,,,,,
3/5/19,2789.65,,,,,,,,
3/6/19,2771.45,,,,,,,,
3/7/19,2748.93,,,,,,,,
3/8/19,2743.07,,,,,,,,
3/11/19,2783.3,,,,,,,,
3/12/19,2791.52,,,,,,,,
3/13/19,2810.92,,,,,,,,
3/14/19,2808.48,,,,,,,,
3/15/19,2822.48,,,,,,,,
3/18/19,2832.94,,,,,,,,
3/19/19,2832.57,,,,,,,,
3/20/19,2824.23,,,,,,,,
3/21/19,2854.88,,,,,,,,
3/22/19,2800.71,,,,,,,,
3/25/19,2798.36,,,,,,,,
3/26/19,2818.46,,,,,,,,
3/27/19,2805.37,,,,,,,,
3/28/19,2815.44,,,,,,,,
3/29/19,2834.4,,,,,,,,
4/1/19,2867.19,,,,,,,,
4/2/19,2867.24,,,,,,,,
4/3/19,2873.4,,,,,,,,
4/4/19,2879.39,,,,,,,,
4/5/19,2892.74,,,,,,,,
4/8/19,2895.77,,,,,,,,
4/9/19,2878.2,,,,,,,,
4/10/19,2888.21,,,,,,,,
4/11/19,2888.32,,,,,,,,
4/12/19,2907.41,,,,,,,,
4/15/19,2905.58,,,,,,,,
4/16/19,2907.06,,,,,,,,
4/17/19,2900.45,,,,,,,,
4/18/19,2905.03,,,,,,,,
4/22/19,2907.97,,,,,,,,
4/23/19,2933.68,,,,,,,,
4/24/19,2927.25,,,,,,,,
4/25/19,2926.17,,,,,,,,
4/26/19,2939.88,,,,,,,,
4/29/19,2943.03,,,,,,,,
4/30/19,2945.83,,,,,,,,
5/1/19,2923.73,,,,,,,,
5/2/19,2917.52,,,,,,,,
5/3/19,2945.64,,,,,,,,
5/6/19,2932.47,,,,,,,,
5/7/19,2884.05,,,,,,,,
5/8/19,2879.42,,,,,,,,
5/9/19,2870.72,,,,,,,,
5/10/19,2881.4,,,,,,,,
5/13/19,2811.87,,,,,,,,
5/14/19,2834.41,,,,,,,,
5/15/19,2850.96,,,,,,,,
5/16/19,2876.32,,,,,,,,
5/17/19,2859.53,,,,,,,,
5/20/19,2840.23,,,,,,,,
5/21/19,2864.36,,,,,,,,
5/22/19,2856.27,,,,,,,,
5/23/19,2822.24,,,,,,,,
5/24/19,2826.06,,,,,,,,
5/28/19,2802.39,,,,,,,,
5/29/19,2783.02,,,,,,,,
5/30/19,2788.86,,,,,,,,
5/31/19,2752.06,,,,,,,,
6/3/19,2744.45,,,,,,,,
6/4/19,2803.27,,,,,,,,
6/5/19,2826.15,,,,,,,,
6/6/19,2843.49,,,,,,,,
6/7/19,2873.34,,,,,,,,
6/10/19,2886.73,,,,,,,,
6/11/19,2885.72,,,,,,,,
6/12/19,2879.84,,,,,,,,
6/13/19,2891.64,,,,,,,,
6/14/19,2886.98,,,,,,,,
6/17/19,2889.67,,,,,,,,
6/18/19,2917.75,,,,,,,,
6/19/19,2926.46,,,,,,,,
6/20/19,2954.18,,,,,,,,
6/21/19,2950.46,,,,,,,,
6/24/19,2945.35,,,,,,,,
6/25/19,2917.38,,,,,,,,
6/26/19,2913.78,,,,,,,,
6/27/19,2924.92,,,,,,,,
6/28/19,2941.76,,,,,,,,
7/1/19,2964.33,,,,,,,,
7/2/19,2973.01,,,,,,,,
7/3/19,2995.82,,,,,,,,
7/5/19,2990.41,,,,,,,,
7/8/19,2975.95,,,,,,,,
7/9/19,2979.63,,,,,,,,
7/10/19,2993.07,,,,,,,,
7/11/19,2999.91,,,,,,,,
7/12/19,3013.77,,,,,,,,
7/15/19,3014.3,,,,,,,,
7/16/19,3004.04,,,,,,,,
7/17/19,2984.42,,,,,,,,
7/18/19,2995.11,,,,,,,,
7/19/19,2976.61,,,,,,,,
7/22/19,2985.03,,,,,,,,
7/23/19,3005.47,,,,,,,,
7/24/19,3019.56,,,,,,,,
7/25/19,3003.67,,,,,,,,
7/26/19,3025.86,,,,,,,,
7/29/19,3020.97,,,,,,,,
7/30/19,3013.18,,,,,,,,
7/31/19,2980.38,,,,,,,,
8/1/19,2953.56,,,,,,,,
8/2/19,2932.05,,,,,,,,
8/5/19,2844.74,,,,,,,,
8/6/19,2881.77,,,,,,,,
8/7/19,2883.98,,,,,,,,
8/8/19,2938.09,,,,,,,,
8/9/19,2918.65,,,,,,,,
8/12/19,2883.75,,,,,,,,
8/13/19,2926.32,,,,,,,,
8/14/19,2840.6,,,,,,,,
8/15/19,2847.6,,,,,,,,
8/16/19,2888.68,,,,,,,,
8/19/19,2923.65,,,,,,,,
8/20/19,2900.51,,,,,,,,
8/21/19,2924.43,,,,,,,,
8/22/19,2922.95,,,,,,,,
8/23/19,2847.11,,,,,,,,
8/26/19,2878.38,,,,,,,,
8/27/19,2869.16,,,,,,,,
8/28/19,2887.94,,,,,,,,
8/29/19,2924.58,,,,,,,,
8/30/19,2926.46,,,,,,,,
9/3/19,2906.27,,,,,,,,
9/4/19,2937.78,,,,,,,,
9/5/19,2976,,,,,,,,
9/6/19,2978.71,,,,,,,,
9/9/19,2978.43,,,,,,,,
9/10/19,2979.39,,,,,,,,
9/11/19,3000.93,,,,,,,,
9/12/19,3009.57,,,,,,,,
9/13/19,3007.39,,,,,,,,
9/16/19,2997.96,,,,,,,,
9/17/19,3005.7,,,,,,,,
9/18/19,3006.73,,,,,,,,
9/19/19,3006.79,,,,,,,,
9/20/19,2992.07,,,,,,,,
9/23/19,2991.78,,,,,,,,
9/24/19,2966.6,,,,,,,,
9/25/19,2984.87,,,,,,,,
9/26/19,2977.62,,,,,,,,
9/27/19,2961.79,,,,,,,,
9/30/19,2976.74,,,,,,,,
10/1/19,2940.25,,,,,,,,
10/2/19,2887.61,,,,,,,,
10/3/19,2910.63,,,,,,,,
10/4/19,2952.01,,,,,,,,
10/7/19,2938.79,,,,,,,,
10/8/19,2893.06,,,,,,,,
10/9/19,2919.4,,,,,,,,
10/10/19,2938.13,,,,,,,,
10/11/19,2970.27,,,,,,,,
10/14/19,2966.15,,,,,,,,
10/15/19,2995.68,,,,,,,,
10/16/19,2989.69,,,,,,,,
10/17/19,2997.95,,,,,,,,
10/18/19,2986.2,,,,,,,,
10/21/19,3006.72,,,,,,,,
10/22/19,2995.99,,,,,,,,
10/23/19,3004.52,,,,,,,,
10/24/19,3010.29,,,,,,,,
10/25/19,3022.55,,,,,,,,
10/28/19,3039.42,,,,,,,,
10/29/19,3036.89,,,,,,,,
10/30/19,3046.77,,,,,,,,
10/31/19,3037.56,,,,,,,,
11/1/19,3066.91,,,,,,,,
11/4/19,3078.27,,,,,,,,
11/5/19,3074.62,,,,,,,,
11/6/19,3076.78,,,,,,,,
11/7/19,3085.18,,,,,,,,
11/8/19,3093.08,,,,,,,,
11/11/19,3087.01,,,,,,,,
11/12/19,3091.84,,,,,,,,
11/13/19,3094.04,,,,,,,,
11/14/19,3096.63,,,,,,,,
11/15/19,3120.46,,,,,,,,
11/18/19,3122.03,,,,,,,,
11/19/19,3120.18,,,,,,,,
11/20/19,3108.46,,,,,,,,
11/21/19,3103.54,,,,,,,,
11/22/19,3110.29,,,,,,,,
11/25/19,3133.64,,,,,,,,
11/26/19,3140.52,,,,,,,,
11/27/19,3153.63,,,,,,,,
11/29/19,3140.98,,,,,,,,
12/2/19,3113.87,,,,,,,,
12/3/19,3093.2,,,,,,,,
12/4/19,3112.76,,,,,,,,
12/5/19,3117.43,,,,,,,,
12/6/19,3145.91,,,,,,,,
12/9/19,3135.96,,,,,,,,
12/10/19,3132.52,,,,,,,,
12/11/19,3141.63,,,,,,,,
12/12/19,3168.57,,,,,,,,
12/13/19,3168.8,,,,,,,,
12/16/19,3191.45,,,,,,,,
12/17/19,3192.52,,,,,,,,
12/18/19,3191.14,,,,,,,,
12/19/19,3205.37,,,,,,,,
12/20/19,3221.22,,,,,,,,
12/23/19,3224.01,,,,,,,,
12/24/19,3223.38,,,,,,,,
12/26/19,3239.91,,,,,,,,
12/27/19,3240.02,,,,,,,,
12/30/19,3221.29,,,,,,,,
12/31/19,3230.78,,,,,,,,
1/2/20,3257.85,,,,,,,,
1/3/20,3234.85,,,,,,,,
1/6/20,3246.28,,,,,,,,
1/7/20,3237.18,,,,,,,,
1/8/20,3253.05,,,,,,,,
1/9/20,3274.7,,,,,,,,
1/10/20,3265.35,,,,,,,,
1/13/20,3288.13,,,,,,,,
1/14/20,3283.15,,,,,,,,
1/15/20,3289.29,,,,,,,,
1/16/20,3316.81,,,,,,,,
1/17/20,3329.62,,,,,,,,
1/21/20,3320.79,,,,,,,,
1/22/20,3321.75,,,,,,,,
1/23/20,3325.54,,,,,,,,
1/24/20,3295.47,,,,,,,,
1/27/20,3243.63,,,,,,,,
1/28/20,3276.24,,,,,,,,
1/29/20,3273.4,,,,,,,,
1/30/20,3283.66,,,,,,,,
1/31/20,3225.52,,,,,,,,
2/3/20,3248.92,,,,,,,,
2/4/20,3297.59,,,,,,,,
2/5/20,3334.69,,,,,,,,
2/6/20,3345.78,,,,,,,,
2/7/20,3327.71,,,,,,,,
2/10/20,3352.09,,,,,,,,
2/11/20,3357.75,,,,,,,,
2/12/20,3379.45,,,,,,,,
2/13/20,3373.94,,,,,,,,
2/14/20,3380.16,,,,,,,,
2/18/20,3370.29,,,,,,,,
2/19/20,3386.15,,,,,,,,
2/20/20,3373.23,,,,,,,,
2/21/20,3337.75,,,,,,,,
2/24/20,3225.89,,,,,,,,
2/25/20,3128.21,,,,,,,,
2/26/20,3116.39,,,,,,,,
2/27/20,2978.76,,,,,,,,
2/28/20,2954.22,,,,,,,,
3/2/20,3090.23,,,,,,,,
3/3/20,3003.37,,,,,,,,
3/4/20,3130.12,,,,,,,,
3/5/20,3023.94,,,,,,,,
3/6/20,2972.37,,,,,,,,
3/9/20,2746.56,,,,,,,,
3/10/20,2882.23,,,,,,,,
3/11/20,2741.38,,,,,,,,
3/12/20,2480.64,,,,,,,,
3/13/20,2711.02,,,,,,,,
3/16/20,2386.13,,,,,,,,
3/17/20,2529.19,,,,,,,,
3/18/20,2398.1,,,,,,,,
3/19/20,2409.39,,,,,,,,
3/20/20,2304.92,,,,,,,,
3/23/20,2237.4,,,,,,,,
3/24/20,2447.33,,,,,,,,
3/25/20,2475.56,,,,,,,,
3/26/20,2630.07,,,,,,,,
3/27/20,2541.47,,,,,,,,
3/30/20,2626.65,,,,,,,,
3/31/20,2584.59,,,,,,,,
4/1/20,2470.5,,,,,,,,
4/2/20,2526.9,,,,,,,,
4/3/20,2488.65,,,,,,,,
4/6/20,2663.68,,,,,,,,
4/7/20,2659.41,,,,,,,,
4/8/20,2749.98,,,,,,,,
4/9/20,2789.82,,,,,,,,
4/13/20,2761.63,,,,,,,,
4/14/20,2846.06,,,,,,,,
4/15/20,2783.36,,,,,,,,
4/16/20,2799.55,,,,,,,,
4/17/20,2874.56,,,,,,,,
4/20/20,2823.16,,,,,,,,
4/21/20,2736.56,,,,,,,,
4/22/20,2799.31,,,,,,,,
4/23/20,2797.8,,,,,,,,
4/24/20,2836.74,,,,,,,,
4/27/20,2878.48,,,,,,,,
4/28/20,2863.39,,,,,,,,
4/29/20,2939.51,,,,,,,,
4/30/20,2912.43,,,,,,,,
5/1/20,2830.71,,,,,,,,
5/4/20,2842.74,,,,,,,,
5/5/20,2868.44,,,,,,,,
5/6/20,2848.42,,,,,,,,
5/7/20,2881.19,,,,,,,,
5/8/20,2929.8,,,,,,,,
5/11/20,2930.32,,,,,,,,
5/12/20,2870.12,,,,,,,,
5/13/20,2820,,,,,,,,
5/14/20,2852.5,,,,,,,,
5/15/20,2863.7,,,,,,,,
5/18/20,2953.91,,,,,,,,
5/19/20,2922.94,,,,,,,,
5/20/20,2971.61,,,,,,,,
5/21/20,2948.51,,,,,,,,
5/22/20,2955.45,,,,,,,,
5/26/20,2991.77,,,,,,,,
5/27/20,3036.13,,,,,,,,
5/28/20,3029.73,,,,,,,,
5/29/20,3044.31,,,,,,,,
6/1/20,3055.73,,,,,,,,
6/2/20,3080.82,,,,,,,,
6/3/20,3122.87,,,,,,,,
6/4/20,3112.35,,,,,,,,
6/5/20,3193.93,,,,,,,,
6/8/20,3232.39,,,,,,,,
6/9/20,3207.18,,,,,,,,
6/10/20,3190.14,,,,,,,,
6/11/20,3002.1,,,,,,,,
6/12/20,3041.31,,,,,,,,
6/15/20,3066.59,,,,,,,,
6/16/20,3124.74,,,,,,,,
6/17/20,3113.49,,,,,,,,
6/18/20,3115.34,,,,,,,,
6/19/20,3097.74,,,,,,,,
6/22/20,3117.86,,,,,,,,
6/23/20,3131.29,,,,,,,,
6/24/20,3050.33,,,,,,,,
6/25/20,3083.76,,,,,,,,
6/26/20,3009.05,,,,,,,,
6/29/20,3053.24,,,,,,,,
6/30/20,3100.29,,,,,,,,
7/1/20,3115.86,,,,,,,,
7/2/20,3130.01,,,,,,,,
7/6/20,3179.72,,,,,,,,
7/7/20,3145.32,,,,,,,,
7/8/20,3169.94,,,,,,,,
7/9/20,3152.05,,,,,,,,
7/10/20,3185.04,,,,,,,,
7/13/20,3155.22,,,,,,,,
7/14/20,3197.52,,,,,,,,
7/15/20,3226.56,,,,,,,,
7/16/20,3215.57,,,,,,,,
7/17/20,3224.73,,,,,,,,
7/20/20,3251.84,,,,,,,,
7/21/20,3257.3,,,,,,,,
7/22/20,3276.02,,,,,,,,
7/23/20,3235.66,,,,,,,,
7/24/20,3215.63,,,,,,,,
7/27/20,3239.41,,,,,,,,
7/28/20,3218.44,,,,,,,,
7/29/20,3258.44,,,,,,,,
7/30/20,3246.22,,,,,,,,
7/31/20,3271.12,,,,,,,,
8/3/20,3294.61,,,,,,,,
8/4/20,3306.51,,,,,,,,
8/5/20,3327.77,,,,,,,,
8/6/20,3349.16,,,,,,,,
8/7/20,3351.28,,,,,,,,
8/10/20,3360.47,,,,,,,,
8/11/20,3333.69,,,,,,,,
8/12/20,3380.35,,,,,,,,
8/13/20,3373.43,,,,,,,,
8/14/20,3372.85,,,,,,,,
8/17/20,3381.99,,,,,,,,
8/18/20,3389.78,,,,,,,,
8/19/20,3374.85,,,,,,,,
8/20/20,3385.51,,,,,,,,
8/21/20,3397.16,,,,,,,,
8/24/20,3431.28,,,,,,,,
8/25/20,3443.62,,,,,,,,
8/26/20,3478.73,,,,,,,,
8/27/20,3484.55,,,,,,,,
8/28/20,3508.01,,,,,,,,
8/31/20,3500.31,,,,,,,,
9/1/20,3526.65,,,,,,,,
9/2/20,3580.84,,,,,,,,
9/3/20,3455.06,,,,,,,,
9/4/20,3426.96,,,,,,,,
9/8/20,3331.84,,,,,,,,
9/9/20,3398.96,,,,,,,,
9/10/20,3339.19,,,,,,,,
9/11/20,3340.97,,,,,,,,
9/14/20,3383.54,,,,,,,,
9/15/20,3401.2,,,,,,,,
9/16/20,3385.49,,,,,,,,
9/17/20,3357.01,,,,,,,,
9/18/20,3319.47,,,,,,,,
9/21/20,3281.06,,,,,,,,
9/22/20,3315.57,,,,,,,,
9/23/20,3236.92,,,,,,,,
9/24/20,3246.59,,,,,,,,
9/25/20,3298.46,,,,,,,,
9/28/20,3351.6,,,,,,,,
9/29/20,3335.47,,,,,,,,
9/30/20,3363,,,,,,,,
10/1/20,3380.8,,,,,,,,
10/2/20,3348.44,,,,,,,,
10/5/20,3408.63,,,,,,,,
10/6/20,3360.95,,,,,,,,
10/7/20,3419.45,,,,,,,,
10/8/20,3446.83,,,,,,,,
10/9/20,3477.13,,,,,,,,
10/12/20,3534.22,,,,,,,,
10/13/20,3511.93,,,,,,,,
10/14/20,3488.67,,,,,,,,
10/15/20,3483.34,,,,,,,,
10/16/20,3483.81,,,,,,,,
10/19/20,3426.92,,,,,,,,
10/20/20,3443.12,,,,,,,,
10/21/20,3435.56,,,,,,,,
10/22/20,3453.49,,,,,,,,
10/23/20,3465.39,,,,,,,,
10/26/20,3400.97,,,,,,,,
10/27/20,3390.68,,,,,,,,
10/28/20,3271.03,,,,,,,,
10/29/20,3310.11,,,,,,,,
10/30/20,3269.96,,,,,,,,
11/2/20,3310.24,,,,,,,,
11/3/20,3369.16,,,,,,,,
11/4/20,3443.44,,,,,,,,
11/5/20,3510.45,,,,,,,,
11/6/20,3509.44,,,,,,,,
