Date,Ratio,Brand
5/9/23,43.96,FORD
3/31/23,46.08,FORD
12/31/22,0,FORD
9/30/22,4.68,FORD
6/30/22,3.54,FORD
3/31/22,5.39,FORD
12/31/21,4.22,FORD
9/30/21,18.11,FORD
6/30/21,15.65,FORD
3/31/21,11.08,FORD
12/31/20,0,FORD
9/30/20,0,FORD
6/30/20,0,FORD
3/31/20,0,FORD
12/31/19,409.38,FORD
5/9/23,6.92,GM
3/31/23,7.67,GM
12/31/22,5.48,GM
9/30/22,5.41,GM
6/30/22,5.99,GM
3/31/22,7.2,GM
12/31/21,8.68,GM
9/30/21,7,GM
6/30/21,6.8,GM
3/31/21,9.23,GM
12/31/20,10.37,GM
9/30/20,8.03,GM
6/30/20,9.89,GM
3/31/20,7.84,GM
12/31/19,5.92,GM
5/9/23,4.016,BMW
3/31/23,3.6,BMW
12/31/22,4.63,BMW
9/30/22,4.817,BMW
6/30/22,10.07,BMW
3/31/22,15.36,BMW
12/31/21,14.74,BMW
9/30/21,13.05,BMW
6/30/21,11.88,BMW
3/31/21,6.2,BMW
12/31/20,9.74,BMW
9/30/20,8.5,BMW
6/30/20,9.19,BMW
3/31/20,6,BMW
12/31/19,5.619,BMW
5/9/23,10.59,TOYOTA
3/31/23,10.07,TOYOTA
12/31/22,8.8,TOYOTA
9/30/22,9.17,TOYOTA
6/30/22,9.71,TOYOTA
3/31/22,8.96,TOYOTA
12/31/21,8.96,TOYOTA
9/30/21,8.33,TOYOTA
6/30/21,8.48,TOYOTA
3/31/21,9.99,TOYOTA
12/31/20,14.2,TOYOTA
9/30/20,13.3,TOYOTA
6/30/20,11.55,TOYOTA
3/31/20,8.35,TOYOTA
12/31/19,8.14,TOYOTA
5/9/23,8.84,HONDA
3/31/23,7.3,HONDA
12/31/22,7.33,HONDA
9/30/23,6.99,HONDA
6/30/22,7.48,HONDA
3/31/22,7.54,HONDA
12/31/21,6.51,HONDA
9/30/21,6.16,HONDA
6/30/21,5.84,HONDA
3/31/21,7.94,HONDA
12/31/20,11.55,HONDA
9/30/20,16.66,HONDA
6/30/20,22.42,HONDA
3/31/20,8.66,HONDA
12/31/19,10.4,HONDA
5/9/23,5.68,MERCEDES
3/31/23,5.3,MERCEDES
12/31/22,5,MERCEDES
9/30/22,4.31,MERCEDES
6/30/22,4,MERCEDES
3/31/22,4.93,MERCEDES
12/31/21,6,MERCEDES
9/30/21,6.61,MERCEDES
6/30/21,10.1,MERCEDES
3/31/21,18.3,MERCEDES
12/31/20,21.5,MERCEDES
9/30/20,26.3,MERCEDES
6/30/20,-25.6,MERCEDES
3/31/20,11.4,MERCEDES
12/31/19,11,MERCEDES